,Nom,Type,Pop21,Pop16,Km2
301,Crabtree,MÉ,4155.0,3958.0,25.06
302,Joliette,V,21384.0,20484.0,22.96
303,Notre-Dame-de-Lourdes,MÉ,3141.0,2783.0,35.59
304,Notre-Dame-des-Prairies,V,9471.0,9273.0,18.1
305,Saint-Ambroise-de-Kildare,MÉ,4090.0,3856.0,67.73
306,Saint-Charles-Borromée,V,15285.0,13791.0,18.48
307,Saint-Paul,MÉ,6566.0,5891.0,49.11
308,Saint-Pierre,VL,286.0,276.0,9.68
309,Saint-Thomas,MÉ,3496.0,3249.0,94.57
310,Sainte-Mélanie,MÉ,3250.0,2989.0,76.1
311,Kamouraska,MÉ,607.0,616.0,44.07
312,La Pocatière,V,4078.0,4120.0,21.18
313,Mont-Carmel,MÉ,1160.0,1127.0,428.26
314,Petit-Lac-Sainte-Anne,NO,0.0,0.0,186.42
315,Picard,NO,5.0,10.0,568.1
316,Rivière-Ouelle,MÉ,995.0,970.0,57.5
317,Saint-Alexandre-de-Kamouraska,MÉ,2255.0,2109.0,111.4
318,Saint-André-de-Kamouraska,MÉ,658.0,658.0,71.06
319,Saint-Bruno-de-Kamouraska,MÉ,515.0,541.0,188.44
320,Saint-Denis-De La Bouteillerie,MÉ,518.0,517.0,33.84
321,Saint-Gabriel-Lalemant,MÉ,660.0,716.0,77.92
322,Saint-Germain,PE,294.0,286.0,28.53
323,Saint-Joseph-de-Kamouraska,PE,398.0,391.0,84.96
324,Saint-Onésime-d'Ixworth,MÉ,522.0,560.0,102.76
325,Saint-Pacôme,MÉ,1806.0,1598.0,29.06
326,Saint-Pascal,V,3530.0,3468.0,59.68
327,Saint-Philippe-de-Néri,PE,818.0,832.0,32.65
328,Sainte-Anne-de-la-Pocatière,PE,1597.0,1636.0,54.78
329,Sainte-Hélène-de-Kamouraska,MÉ,891.0,918.0,60.46
330,Charlemagne,V,6302.0,5913.0,2.17
331,L'Assomption,V,23442.0,22429.0,98.74
332,L'Épiphanie 5,V,8883.0,8693.0,56.57
333,Repentigny,V,86100.0,84285.0,61.52
334,Saint-Sulpice,PE,3360.0,3439.0,36.17
335,L'Islet,MÉ,3803.0,3827.0,119.95
336,Saint-Adalbert,MÉ,460.0,510.0,216.16
337,Saint-Aubert,MÉ,1441.0,1474.0,98.45
338,Saint-Cyrille-de-Lessard,PE,742.0,718.0,230.52
339,Saint-Damase-de-L'Islet,MÉ,563.0,552.0,247.64
340,Saint-Jean-Port-Joli,MÉ,3329.0,3407.0,69.31
341,Saint-Marcel,MÉ,422.0,428.0,178.83
342,Saint-Omer,MÉ,294.0,277.0,122.44
343,Saint-Pamphile,V,2274.0,2400.0,137.78
344,Saint-Roch-des-Aulnaies,MÉ,955.0,917.0,49.14
345,Sainte-Félicité,MÉ,350.0,389.0,94.89
346,Sainte-Louise,PE,674.0,671.0,76.59
347,Sainte-Perpétue,MÉ,1715.0,1639.0,291.04
348,Tourville,MÉ,576.0,589.0,164.36
349,Inverness,MÉ,910.0,899.0,176.11
350,Laurierville,MÉ,1313.0,1346.0,107.91
351,Lyster,MÉ,1587.0,1605.0,167.55
352,Notre-Dame-de-Lourdes,PE,787.0,688.0,81.39
353,Plessisville 5,V,6414.0,6551.0,4.92
354,Plessisville 5,PE,2655.0,2663.0,141.19
355,Princeville,V,6218.0,6001.0,195.01
356,Saint-Ferdinand,MÉ,2007.0,2076.0,137.16
357,Saint-Pierre-Baptiste,PE,560.0,527.0,81.77
358,Sainte-Sophie-d'Halifax,MÉ,595.0,612.0,92.13
359,Villeroy,MÉ,488.0,457.0,101.9
360,Saint-François-de-l'Île-d'Orléans,MÉ,536.0,527.0,28.96
361,Saint-Jean-de-l'Île-d'Orléans,MÉ,1026.0,1059.0,43.48
362,Saint-Laurent-de-l'Île-d'Orléans,MÉ,1607.0,1532.0,35.64
363,Saint-Pierre-de-l'Île-d'Orléans,MÉ,1743.0,1993.0,31.64
364,Sainte-Famille-de-l'Île-d'Orléans,MÉ,850.0,938.0,50.54
365,Sainte-Pétronille,VL,1055.0,1033.0,4.32
366,Beaupré,V,4117.0,3752.0,22.97
367,Boischatel,MÉ,8231.0,7587.0,20.36
368,Château-Richer,V,4425.0,4126.0,228.84
369,L'Ange-Gardien,MÉ,3842.0,3695.0,53.61
370,Lac-Jacques-Cartier,NO,0.0,0.0,4131.62
371,Saint-Ferréol-les-Neiges,MÉ,3806.0,3240.0,83.18
372,Saint-Joachim,PE,1427.0,1441.0,42.33
373,Saint-Louis-de-Gonzague-du-Cap-Tourmente,PE,0.0,5.0,0.42
374,Saint-Tite-des-Caps,MÉ,1504.0,1473.0,129.3
375,Sainte-Anne-de-Beaupré,V,2888.0,2880.0,62.38
376,Sault-au-Cochon,NO,0.0,0.0,70.18
377,Cloridorme,CT,607.0,671.0,158.74
378,Collines-du-Basque,NO,0.0,0.0,817.84
379,Gaspé,V,15063.0,14568.0,1118.77
380,Grande-Vallée,MÉ,1077.0,1057.0,144.16
381,Murdochville,V,643.0,651.0,60.84
382,Petite-Vallée,MÉ,157.0,170.0,39.9
383,Rivière-Saint-Jean,NO,0.0,0.0,1748.14
384,Colombier,MÉ,635.0,685.0,361.23
385,Essipit,IRI,310.0,297.0,1.13
386,Forestville,V,2892.0,3081.0,192.61
387,Lac-au-Brochet,NO,0.0,5.0,9360.33
388,Les Bergeronnes,MÉ,619.0,661.0,268.77
389,Les Escoumins,MÉ,1794.0,1891.0,265.89
390,Longue-Rive,MÉ,918.0,1026.0,308.06
391,Portneuf-sur-Mer 3,MÉ,612.0,641.0,181.9
392,Sacré-Coeur,MÉ,1684.0,1803.0,303.15
393,Tadoussac,VL,814.0,799.0,52.73
394,Cap-Chat,V,2516.0,2476.0,181.31
395,Coulée-des-Adolphe,NO,0.0,0.0,86.2
396,La Martre,MÉ,194.0,243.0,175.23
397,Marsoui,VL,289.0,275.0,181.4
398,Mont-Albert,NO,167.0,179.0,3463.19
399,Mont-Saint-Pierre,VL,186.0,155.0,52.07
400,Rivière-à-Claude,MÉ,141.0,128.0,155.95
401,Saint-Maxime-du-Mont-Louis,MÉ,1047.0,1134.0,232.67
402,Sainte-Anne-des-Monts,V,6121.0,6437.0,263.51
403,Sainte-Madeleine-de-la-Rivière-Madeleine,MÉ,289.0,289.0,262.35
404,Granby,V,69025.0,66222.0,152.69
405,Roxton Pond,MÉ,4224.0,3809.0,97.64
406,Saint-Alphonse-de-Granby,MÉ,3341.0,3094.0,50.12
407,Saint-Joachim-de-Shefford,MÉ,1476.0,1301.0,126.91
408,Sainte-Cécile-de-Milton,MÉ,2195.0,2160.0,72.96
409,Shefford,CT,7253.0,6947.0,117.99
410,Warden,VL,362.0,363.0,5.46
411,Waterloo,V,4920.0,4410.0,12.23
412,Fossambault-sur-le-Lac,V,2327.0,1960.0,11.49
413,Lac-Beauport,MÉ,8164.0,7801.0,61.73
414,Lac-Croche,NO,0.0,0.0,1679.99
415,Lac-Delage,V,771.0,638.0,1.58
416,Lac-Saint-Joseph,V,304.0,260.0,33.65
417,Saint-Gabriel-de-Valcartier,MÉ,3223.0,3382.0,432.62
418,Sainte-Brigitte-de-Laval,V,8468.0,7348.0,108.42
419,Sainte-Catherine-de-la-Jacques-Cartier,V,8442.0,7706.0,120.7
420,Shannon,V,6432.0,6031.0,63.54
421,Stoneham-et-Tewkesbury,CU,9682.0,8359.0,670.03
422,Baie-des-Sables,MÉ,613.0,628.0,65.07
423,Grosses-Roches 3,MÉ,375.0,394.0,63.59
424,Les Méchins,MÉ,995.0,987.0,441.39
425,Matane,V,13987.0,14311.0,195.49
426,Rivière-Bonjour 7,NO,16.0,0.0,1682.5
427,Saint-Adelme 3,PE,484.0,520.0,100.58
428,Saint-Jean-de-Cherbourg 3,PE,163.0,165.0,113.96
429,Saint-Léandre,PE,375.0,400.0,104.72
430,Saint-René-de-Matane 3,MÉ,961.0,991.0,253.89
431,Saint-Ulric,MÉ,1567.0,1585.0,120.45
432,Sainte-Félicité 3,MÉ,1100.0,1087.0,90.73
433,Sainte-Paule,MÉ,247.0,233.0,83.36
434,Albertville,MÉ,239.0,226.0,103.13
435,Amqui,V,5999.0,6178.0,121.02
436,Causapscal,V,2147.0,2304.0,161.61
437,Lac-Alfred,NO,0.0,0.0,77.53
438,Lac-Casault 7,NO,30.0,0.0,1428.21
439,Lac-Matapédia 3,NO,10.0,5.0,71.01
440,Lac-au-Saumon,MÉ,1488.0,1450.0,81.05
441,Rivière-Patapédia-Est,NO,0.0,0.0,15.85
442,Rivière-Vaseuse,NO,0.0,0.0,275.3
443,Routhierville,NO,20.0,18.0,626.26
444,Ruisseau-des-Mineurs 4,NO,5.0,0.0,935.95
445,Saint-Alexandre-des-Lacs 3,PE,298.0,268.0,89.82
446,Saint-Cléophas,PE,321.0,333.0,97.22
447,Saint-Damase 3,PE,382.0,356.0,116.42
448,Saint-Léon-le-Grand,PE,968.0,953.0,128.26
449,Saint-Moïse,PE,542.0,580.0,109.8
450,Saint-Noël,VL,392.0,398.0,45.8
451,Saint-Tharcisius 3,PE,411.0,421.0,78.84
452,Saint-Vianney,MÉ,446.0,441.0,145.6
453,Saint-Zénon-du-Lac-Humqui,PE,370.0,359.0,113.09
454,Sainte-Florence,MÉ,367.0,384.0,103.48
455,Sainte-Irène,PE,369.0,327.0,135.09
456,Sainte-Marguerite-Marie,MÉ,183.0,166.0,85.97
457,Sayabec 3,MÉ,1706.0,1831.0,130.31
458,Val-Brillant,MÉ,899.0,927.0,77.9
459,Grand-Métis 3,MÉ,218.0,213.0,25.12
460,La Rédemption,PE,384.0,432.0,116.63
461,Lac-des-Eaux-Mortes,NO,47.0,0.0,923.26
462,Lac-à-la-Croix,NO,0.0,0.0,223.35
463,Les Hauteurs,MÉ,485.0,504.0,102.92
464,Mont-Joli,V,6384.0,6281.0,24.24
465,Métis-sur-Mer 3,V,594.0,572.0,48.22
466,Padoue,MÉ,250.0,245.0,66.66
467,Price,VL,1729.0,1759.0,2.51
468,Saint-Charles-Garnier,PE,222.0,240.0,84.79
469,Saint-Donat,PE,835.0,876.0,95.8
