"Nom géographique";"Abréviation du nom du genre de région géographique";"Population, 2021";"Population, 2016";"Variation en pourcentage de la population, 2016 à 2021";"Total des logements privés, 2021";"Total des logements privés, 2016";"Variation en pourcentage du total des logements privés, 2016 à 2021";"Logements privés occupés par des résidents habituels, 2021";"Logements privés occupés par des résidents habituels, 2016";"Variation en pourcentage des logements privés occupés par des résidents habituels, 2016 à 2021";"Superficie des terres en kilomètres carrés, 2021";"Densité de population au kilomètre carré, 2021";"Classement national de la population, 2021";"Classement provincial et territorial de la population, 2021"
"Wentworth";"CT";"682";"533";"28,0";"802";"788";"1,8";"378";"266";"42,1";"85,03";"8,0";"2 559";"814"
"Chesterville";"MÉ";"877";"922";"-4,9";"422";"416";"1,4";"363";"358";"1,4";"116,72";"7,5";"2 269";"719"
"Daveluyville 5";"V";"2 360";"2 255";"4,7";"1 154";"1 097";"5,2";"1 077";"998";"7,9";"61,71";"38,2";"1 242";"352"
"Ham-Nord";"CT";"857";"869";"-1,4";"446";"437";"2,1";"393";"363";"8,3";"103,98";"8,2";"2 296";"727"
"Kingsey Falls";"V";"1 986";"1 947";"2,0";"837";"813";"3,0";"800";"756";"5,8";"69,36";"28,6";"1 388";"408"
"Maddington Falls";"MÉ";"428";"413";"3,6";"228";"226";"0,9";"213";"196";"8,7";"23,82";"18,0";"3 104";"975"
"Notre-Dame-de-Ham";"MÉ";"414";"411";"0,7";"233";"236";"-1,3";"204";"195";"4,6";"31,05";"13,3";"3 128";"980"
"Saint-Albert";"MÉ";"1 640";"1 601";"2,4";"692";"677";"2,2";"661";"652";"1,4";"69,43";"23,6";"1 572";"477"
"Saint-Christophe-d'Arthabaska";"PE";"3 111";"3 021";"3,0";"1 222";"1 173";"4,2";"1 178";"1 124";"4,8";"68,96";"45,1";"1 017";"265"
"Saint-Louis-de-Blandford";"MÉ";"1 076";"1 011";"6,4";"583";"541";"7,8";"491";"434";"13,1";"104,36";"10,3";"2 023";"630"
"Saint-Norbert-d'Arthabaska";"MÉ";"1 247";"1 157";"7,8";"509";"501";"1,6";"481";"472";"1,9";"102,98";"12,1";"1 850";"568"
"Saint-Rosaire";"PE";"932";"843";"10,6";"395";"367";"7,6";"363";"340";"6,8";"109,53";"8,5";"2 205";"691"
"Saint-Rémi-de-Tingwick";"MÉ";"446";"458";"-2,6";"269";"285";"-5,6";"208";"210";"-1,0";"72,97";"6,1";"3 056";"960"
"Saint-Samuel";"MÉ";"765";"744";"2,8";"368";"354";"4,0";"330";"317";"4,1";"43,21";"17,7";"2 414";"775"
"Saint-Valère";"MÉ";"1 188";"1 263";"-5,9";"529";"523";"1,1";"505";"499";"1,2";"108,10";"11,0";"1 911";"583"
"Sainte-Clotilde-de-Horton";"MÉ";"1 563";"1 569";"-0,4";"820";"852";"-3,8";"684";"688";"-0,6";"114,66";"13,6";"1 628";"494"
"Sainte-Hélène-de-Chester";"MÉ";"384";"374";"2,7";"204";"197";"3,6";"169";"160";"5,6";"83,72";"4,6";"3 226";"1 003"
"Sainte-Séraphine";"PE";"441";"355";"24,2";"224";"205";"9,3";"176";"150";"17,3";"75,86";"5,8";"3 071";"967"
"Sainte-Élizabeth-de-Warwick";"MÉ";"383";"372";"3,0";"151";"152";"-0,7";"145";"139";"4,3";"51,87";"7,4";"3 232";"1 005"
"Saints-Martyrs-Canadiens";"PE";"277";"254";"9,1";"269";"254";"5,9";"148";"130";"13,8";"111,40";"2,5";"3 592";"1 079"
"Tingwick";"MÉ";"1 484";"1 410";"5,2";"759";"748";"1,5";"650";"607";"7,1";"169,48";"8,8";"1 674";"508"
"Victoriaville";"V";"47 760";"46 130";"3,5";"23 106";"21 380";"8,1";"21 864";"20 674";"5,8";"84,33";"566,4";"110";"25"
"Warwick";"V";"4 729";"4 635";"2,0";"2 136";"2 049";"4,2";"2 063";"1 985";"3,9";"109,60";"43,1";"768";"193"
"Carleton-sur-Mer";"V";"4 081";"4 073";"0,2";"2 222";"2 136";"4,0";"2 016";"1 918";"5,1";"221,48";"18,4";"847";"213"
"Escuminac";"MÉ";"575";"544";"5,7";"317";"297";"6,7";"268";"241";"11,2";"108,70";"5,3";"2 768";"875"
"Gesgapegiag";"IRI";"637";"653";"-2,5";"264";"264";"0,0";"243";"257";"-5,4";"2,20";"289,8";"2 651";"844"
"L'Ascension-de-Patapédia";"MÉ";"148";"164";"-9,8";"111";"113";"-1,8";"87";"89";"-2,2";"95,98";"1,5";"4 067";"1 139"
"Listuguj 3 6";"IRI";"..";"1 514";"..";"..";"735";"..";"..";"692";"..";"44,23";"..";"..";".."
"Maria";"MÉ";"2 760";"2 615";"5,5";"1 229";"1 159";"6,0";"1 164";"1 075";"8,3";"94,88";"29,1";"1 106";"299"
"Matapédia";"MÉ";"566";"645";"-12,2";"357";"365";"-2,2";"307";"314";"-2,2";"71,59";"7,9";"2 784";"879"
"Nouvelle 3";"MÉ";"1 782";"1 681";"6,0";"931";"939";"-0,9";"829";"754";"9,9";"234,66";"7,6";"1 492";"443"
"Pointe-à-la-Croix 3";"MÉ";"1 344";"1 408";"-4,5";"697";"739";"-5,7";"642";"662";"-3,0";"390,73";"3,4";"1 778";"546"
"Ristigouche-Partie-Sud-Est";"CT";"170";"171";"-0,6";"95";"91";"4,4";"81";"82";"-1,2";"51,76";"3,3";"3 974";"1 130"
"Rivière-Nouvelle";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"1 087,60";"0,0";"4 831";"1 194"
"Ruisseau-Ferguson";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"675,94";"0,0";"4 831";"1 194"
"Saint-Alexis-de-Matapédia";"MÉ";"519";"500";"3,8";"285";"283";"0,7";"249";"232";"7,3";"84,91";"6,1";"2 890";"909"
"Saint-André-de-Restigouche";"MÉ";"154";"161";"-4,3";"92";"95";"-3,2";"72";"81";"-11,1";"143,37";"1,1";"4 039";"1 137"
"Saint-François-d'Assise";"MÉ";"679";"644";"5,4";"367";"360";"1,9";"323";"304";"6,3";"179,34";"3,8";"2 563";"816"
"La Guadeloupe";"VL";"1 805";"1 707";"5,7";"860";"800";"7,5";"814";"740";"10,0";"32,84";"55,0";"1 474";"437"
"Lac-Poulin";"VL";"171";"147";"16,3";"154";"154";"0,0";"75";"66";"13,6";"0,88";"195,3";"3 971";"1 129"
"Notre-Dame-des-Pins";"PE";"1 812";"1 594";"13,7";"763";"650";"17,4";"745";"639";"16,6";"24,09";"75,2";"1 468";"433"
"Saint-Benoît-Labre";"MÉ";"1 617";"1 630";"-0,8";"820";"797";"2,9";"710";"675";"5,2";"85,65";"18,9";"1 585";"481"
"Saint-Côme--Linière";"MÉ";"3 278";"3 239";"1,2";"1 537";"1 517";"1,3";"1 388";"1 348";"3,0";"150,45";"21,8";"980";"255"
"Saint-Georges";"V";"32 935";"32 513";"1,3";"16 058";"15 022";"6,9";"15 415";"14 592";"5,6";"199,08";"165,4";"146";"34"
"Saint-Gédéon-de-Beauce";"MÉ";"2 093";"2 205";"-5,1";"956";"953";"0,3";"911";"890";"2,4";"197,37";"10,6";"1 341";"390"
"Saint-Hilaire-de-Dorset";"PE";"96";"95";"1,1";"56";"49";"14,3";"44";"42";"4,8";"186,77";"0,5";"4 276";"1 151"
"Saint-Honoré-de-Shenley 3";"MÉ";"1 555";"1 517";"2,5";"678";"643";"5,4";"637";"612";"4,1";"133,96";"11,6";"1 633";"496"
"Saint-Martin";"PE";"2 588";"2 477";"4,5";"1 226";"1 189";"3,1";"1 136";"1 108";"2,5";"118,00";"21,9";"1 160";"320"
"Saint-Philibert";"MÉ";"379";"369";"2,7";"160";"156";"2,6";"148";"144";"2,8";"57,16";"6,6";"3 248";"1 009"
"Saint-René";"PE";"946";"745";"27,0";"373";"321";"16,2";"351";"295";"19,0";"61,54";"15,4";"2 186";"684"
"Saint-Simon-les-Mines";"MÉ";"573";"549";"4,4";"231";"237";"-2,5";"223";"222";"0,5";"47,43";"12,1";"2 773";"876"
"Saint-Théophile";"MÉ";"702";"713";"-1,5";"354";"357";"-0,8";"322";"314";"2,5";"427,78";"1,6";"2 519";"803"
"Saint-Éphrem-de-Beauce";"MÉ";"2 323";"2 400";"-3,2";"1 054";"1 044";"1,0";"987";"961";"2,7";"118,90";"19,5";"1 254";"357"
"Saint-Évariste-de-Forsyth 3";"MÉ";"511";"545";"-6,2";"311";"323";"-3,7";"230";"230";"0,0";"110,85";"4,6";"2 908";"918"
"Beauharnois";"V";"13 638";"12 884";"5,9";"6 451";"6 072";"6,2";"6 293";"5 798";"8,5";"68,22";"199,9";"323";"85"
"Saint-Louis-de-Gonzague";"PE";"1 950";"1 481";"31,7";"777";"602";"29,1";"757";"580";"30,5";"77,04";"25,3";"1 406";"413"
"Saint-Stanislas-de-Kostka";"MÉ";"1 852";"1 654";"12,0";"896";"877";"2,2";"788";"725";"8,7";"57,69";"32,1";"1 441";"422"
"Saint-Urbain-Premier";"MÉ";"1 332";"1 264";"5,4";"538";"530";"1,5";"504";"499";"1,0";"53,28";"25,0";"1 787";"550"
"Saint-Étienne-de-Beauharnois";"MÉ";"1 099";"831";"32,3";"431";"346";"24,6";"423";"331";"27,8";"40,63";"27,1";"2 000";"619"
"Sainte-Martine";"MÉ";"5 664";"5 461";"3,7";"2 469";"2 368";"4,3";"2 407";"2 309";"4,2";"63,06";"89,8";"682";"173"
"Salaberry-de-Valleyfield";"V";"42 787";"40 745";"5,0";"20 962";"19 356";"8,3";"20 073";"18 623";"7,8";"108,56";"394,1";"123";"28"
"Armagh";"MÉ";"1 439";"1 488";"-3,3";"785";"808";"-2,8";"686";"680";"0,9";"167,99";"8,6";"1 706";"518"
"Beaumont";"MÉ";"2 968";"2 942";"0,9";"1 171";"1 328";"-11,8";"1 120";"1 135";"-1,3";"44,57";"66,6";"1 056";"278"
"Honfleur";"MÉ";"881";"849";"3,8";"362";"358";"1,1";"338";"330";"2,4";"50,67";"17,4";"2 264";"717"
"La Durantaye";"PE";"782";"755";"3,6";"374";"363";"3,0";"339";"328";"3,4";"34,99";"22,3";"2 396";"766"
"Notre-Dame-Auxiliatrice-de-Buckland";"PE";"767";"768";"-0,1";"519";"517";"0,4";"381";"362";"5,2";"94,71";"8,1";"2 413";"774"
"Saint-Anselme";"MÉ";"4 047";"3 938";"2,8";"1 772";"1 669";"6,2";"1 697";"1 613";"5,2";"74,22";"54,5";"853";"215"
"Saint-Charles-de-Bellechasse";"MÉ";"2 583";"2 396";"7,8";"1 121";"1 022";"9,7";"1 064";"992";"7,3";"93,30";"27,7";"1 163";"322"
"Saint-Damien-de-Buckland";"PE";"1 893";"1 956";"-3,2";"949";"944";"0,5";"828";"805";"2,9";"82,04";"23,1";"1 423";"418"
"Saint-Gervais";"MÉ";"2 138";"2 153";"-0,7";"896";"871";"2,9";"861";"843";"2,1";"89,33";"23,9";"1 328";"387"
"Saint-Henri";"MÉ";"5 813";"5 611";"3,6";"2 472";"2 365";"4,5";"2 358";"2 267";"4,0";"122,61";"47,4";"669";"169"
